2026-09-08 13:51:13 | VPB | BÁN | Khối lượng: 61,200 CP
2026-09-08 13:51:13 | VIX | BÁN | Khối lượng: 300,900 CP
2026-09-08 13:51:13 | KDH | BÁN | Khối lượng: 71,500 CP
2026-09-08 13:53:54 | VPB | BÁN | Khối lượng: 98,800 CP
2026-09-08 13:53:54 | HCM | MUA | Khối lượng: 60,600 CP
2026-09-08 13:56:49 | VPB | BÁN | Khối lượng: 120,000 CP
2026-09-08 13:56:49 | HCM | MUA | Khối lượng: 76,500 CP
2026-09-08 13:56:49 | FPT | MUA | Khối lượng: 208,400 CP
2026-09-08 14:12:19 | STB | BÁN | Khối lượng: 62,300 CP
2026-09-08 14:12:19 | CTG | BÁN | Khối lượng: 97,200 CP
2026-09-08 14:12:19 | TCB | BÁN | Khối lượng: 56,300 CP
2026-09-08 14:12:19 | VPB | BÁN | Khối lượng: 78,800 CP
2026-09-08 14:12:19 | HCM | MUA | Khối lượng: 275,500 CP
2026-09-08 14:12:19 | VIX | MUA | Khối lượng: 64,100 CP
2026-09-08 14:12:19 | TCX | MUA | Khối lượng: 88,400 CP
2026-09-08 14:12:19 | TCX | BÁN | Khối lượng: 69,200 CP
2026-09-08 14:12:19 | SSI | BÁN | Khối lượng: 80,600 CP
2026-09-08 14:12:19 | NLG | MUA | Khối lượng: 139,200 CP
2026-09-08 14:12:19 | NLG | BÁN | Khối lượng: 427,500 CP
2026-09-08 14:12:19 | KDH | BÁN | Khối lượng: 120,100 CP
2026-09-08 14:12:19 | GAS | MUA | Khối lượng: 110,600 CP
2026-09-08 14:12:19 | GAS | BÁN | Khối lượng: 61,909 CP
2026-09-08 14:12:19 | FPT | MUA | Khối lượng: 167,400 CP
2026-09-08 14:12:19 | FPT | BÁN | Khối lượng: 84,800 CP
2026-09-08 14:12:19 | MSN | BÁN | Khối lượng: 95,800 CP
2026-09-08 14:12:19 | DGW | MUA | Khối lượng: 77,900 CP
2026-09-08 14:12:19 | VSC | BÁN | Khối lượng: 92,200 CP
2026-09-08 14:12:19 | VIC | MUA | Khối lượng: 67,500 CP
2026-09-08 14:12:19 | VIC | BÁN | Khối lượng: 70,600 CP
2026-09-08 14:14:59 | CTG | BÁN | Khối lượng: 56,400 CP
2026-09-08 14:14:59 | FPT | MUA | Khối lượng: 67,700 CP
2026-09-08 14:19:07 | TCB | BÁN | Khối lượng: 86,400 CP
2026-09-08 14:19:07 | HCM | MUA | Khối lượng: 65,300 CP
2026-09-08 14:19:07 | NLG | BÁN | Khối lượng: 84,600 CP
2026-09-08 14:19:07 | KDH | BÁN | Khối lượng: 124,300 CP
2026-09-08 14:19:07 | FPT | MUA | Khối lượng: 521,900 CP
2026-09-08 14:19:07 | FPT | BÁN | Khối lượng: 362,600 CP
2026-09-08 14:21:45 | FPT | MUA | Khối lượng: 142,600 CP
2026-09-08 14:24:23 | TCB | MUA | Khối lượng: 72,300 CP
2026-09-08 14:24:23 | NLG | BÁN | Khối lượng: 90,200 CP
2026-09-08 14:24:23 | MSN | MUA | Khối lượng: 54,900 CP
2026-09-08 14:24:23 | MSN | BÁN | Khối lượng: 75,200 CP
2026-09-08 14:24:23 | VIC | MUA | Khối lượng: 51,900 CP
2026-09-08 14:27:02 | TCB | MUA | Khối lượng: 93,100 CP
2026-09-08 14:27:02 | FPT | MUA | Khối lượng: 53,000 CP
2026-09-08 14:27:02 | MSN | BÁN | Khối lượng: 58,000 CP
2026-09-08 14:29:40 | TCB | MUA | Khối lượng: 145,300 CP
